,url,score1,score2,maps_total,maps_total,pistol_round_1,pistol_round_15,history_t1,history_draw,history_t2,team1_rank,team2_rank,prize_pool,teams_on_tour,opponent_rank_from_5_last_matches_0,opponent_rank_from_5_last_matches_1,opponent_rank_from_5_last_matches_2,opponent_rank_from_5_last_matches_3,opponent_rank_from_5_last_matches_4,win/loss_from_5_last_matches_0,win/loss_from_5_last_matches_1,win/loss_from_5_last_matches_2,win/loss_from_5_last_matches_3,win/loss_from_5_last_matches_4,opponent_rank_from_5_last_matches_0,opponent_rank_from_5_last_matches_1,opponent_rank_from_5_last_matches_2,opponent_rank_from_5_last_matches_3,opponent_rank_from_5_last_matches_4,win/loss_from_5_last_matches_0,win/loss_from_5_last_matches_1,win/loss_from_5_last_matches_2,win/loss_from_5_last_matches_3,win/loss_from_5_last_matches_4,Total kills_team0_pl0,Headshot %_team0_pl0,Total deaths_team0_pl0,K/D Ratio_team0_pl0,Damage / Round_team0_pl0,Grenade dmg / Round_team0_pl0,Maps played_team0_pl0,Rounds played_team0_pl0,Kills / round_team0_pl0,Assists / round_team0_pl0,Deaths / round_team0_pl0,Saved by teammate / round_team0_pl0,Saved teammates / round_team0_pl0,Rating 2.0_team0_pl0,vs top 5 opponents_team0_pl0,vs top 10 opponents_team0_pl0,vs top 20 opponents_team0_pl0,vs top 30 opponents_team0_pl0,vs top 50 opponents_team0_pl0,Total kills_team0_pl1,Headshot %_team0_pl1,Total deaths_team0_pl1,K/D Ratio_team0_pl1,Damage / Round_team0_pl1,Grenade dmg / Round_team0_pl1,Maps played_team0_pl1,Rounds played_team0_pl1,Kills / round_team0_pl1,Assists / round_team0_pl1,Deaths / round_team0_pl1,Saved by teammate / round_team0_pl1,Saved teammates / round_team0_pl1,Rating 2.0_team0_pl1,vs top 5 opponents_team0_pl1,vs top 10 opponents_team0_pl1,vs top 20 opponents_team0_pl1,vs top 30 opponents_team0_pl1,vs top 50 opponents_team0_pl1,Total kills_team0_pl2,Headshot %_team0_pl2,Total deaths_team0_pl2,K/D Ratio_team0_pl2,Damage / Round_team0_pl2,Grenade dmg / Round_team0_pl2,Maps played_team0_pl2,Rounds played_team0_pl2,Kills / round_team0_pl2,Assists / round_team0_pl2,Deaths / round_team0_pl2,Saved by teammate / round_team0_pl2,Saved teammates / round_team0_pl2,Rating 2.0_team0_pl2,vs top 5 opponents_team0_pl2,vs top 10 opponents_team0_pl2,vs top 20 opponents_team0_pl2,vs top 30 opponents_team0_pl2,vs top 50 opponents_team0_pl2,Total kills_team0_pl3,Headshot %_team0_pl3,Total deaths_team0_pl3,K/D Ratio_team0_pl3,Damage / Round_team0_pl3,Grenade dmg / Round_team0_pl3,Maps played_team0_pl3,Rounds played_team0_pl3,Kills / round_team0_pl3,Assists / round_team0_pl3,Deaths / round_team0_pl3,Saved by teammate / round_team0_pl3,Saved teammates / round_team0_pl3,Rating 2.0_team0_pl3,vs top 5 opponents_team0_pl3,vs top 10 opponents_team0_pl3,vs top 20 opponents_team0_pl3,vs top 30 opponents_team0_pl3,vs top 50 opponents_team0_pl3,Total kills_team0_pl4,Headshot %_team0_pl4,Total deaths_team0_pl4,K/D Ratio_team0_pl4,Damage / Round_team0_pl4,Grenade dmg / Round_team0_pl4,Maps played_team0_pl4,Rounds played_team0_pl4,Kills / round_team0_pl4,Assists / round_team0_pl4,Deaths / round_team0_pl4,Saved by teammate / round_team0_pl4,Saved teammates / round_team0_pl4,Rating 2.0_team0_pl4,vs top 5 opponents_team0_pl4,vs top 10 opponents_team0_pl4,vs top 20 opponents_team0_pl4,vs top 30 opponents_team0_pl4,vs top 50 opponents_team0_pl4,Total kills_team1_pl0,Headshot %_team1_pl0,Total deaths_team1_pl0,K/D Ratio_team1_pl0,Damage / Round_team1_pl0,Grenade dmg / Round_team1_pl0,Maps played_team1_pl0,Rounds played_team1_pl0,Kills / round_team1_pl0,Assists / round_team1_pl0,Deaths / round_team1_pl0,Saved by teammate / round_team1_pl0,Saved teammates / round_team1_pl0,Rating 2.0_team1_pl0,vs top 5 opponents_team1_pl0,vs top 10 opponents_team1_pl0,vs top 20 opponents_team1_pl0,vs top 30 opponents_team1_pl0,vs top 50 opponents_team1_pl0,Total kills_team1_pl1,Headshot %_team1_pl1,Total deaths_team1_pl1,K/D Ratio_team1_pl1,Damage / Round_team1_pl1,Grenade dmg / Round_team1_pl1,Maps played_team1_pl1,Rounds played_team1_pl1,Kills / round_team1_pl1,Assists / round_team1_pl1,Deaths / round_team1_pl1,Saved by teammate / round_team1_pl1,Saved teammates / round_team1_pl1,Rating 2.0_team1_pl1,vs top 5 opponents_team1_pl1,vs top 10 opponents_team1_pl1,vs top 20 opponents_team1_pl1,vs top 30 opponents_team1_pl1,vs top 50 opponents_team1_pl1,Total kills_team1_pl2,Headshot %_team1_pl2,Total deaths_team1_pl2,K/D Ratio_team1_pl2,Damage / Round_team1_pl2,Grenade dmg / Round_team1_pl2,Maps played_team1_pl2,Rounds played_team1_pl2,Kills / round_team1_pl2,Assists / round_team1_pl2,Deaths / round_team1_pl2,Saved by teammate / round_team1_pl2,Saved teammates / round_team1_pl2,Rating 2.0_team1_pl2,vs top 5 opponents_team1_pl2,vs top 10 opponents_team1_pl2,vs top 20 opponents_team1_pl2,vs top 30 opponents_team1_pl2,vs top 50 opponents_team1_pl2,Total kills_team1_pl3,Headshot %_team1_pl3,Total deaths_team1_pl3,K/D Ratio_team1_pl3,Damage / Round_team1_pl3,Grenade dmg / Round_team1_pl3,Maps played_team1_pl3,Rounds played_team1_pl3,Kills / round_team1_pl3,Assists / round_team1_pl3,Deaths / round_team1_pl3,Saved by teammate / round_team1_pl3,Saved teammates / round_team1_pl3,Rating 2.0_team1_pl3,vs top 5 opponents_team1_pl3,vs top 10 opponents_team1_pl3,vs top 20 opponents_team1_pl3,vs top 30 opponents_team1_pl3,vs top 50 opponents_team1_pl3,Total kills_team1_pl4,Headshot %_team1_pl4,Total deaths_team1_pl4,K/D Ratio_team1_pl4,Damage / Round_team1_pl4,Grenade dmg / Round_team1_pl4,Maps played_team1_pl4,Rounds played_team1_pl4,Kills / round_team1_pl4,Assists / round_team1_pl4,Deaths / round_team1_pl4,Saved by teammate / round_team1_pl4,Saved teammates / round_team1_pl4,Rating 2.0_team1_pl4,vs top 5 opponents_team1_pl4,vs top 10 opponents_team1_pl4,vs top 20 opponents_team1_pl4,vs top 30 opponents_team1_pl4,vs top 50 opponents_team1_pl4,Times played_team1,Total rounds played_team1,Rounds won_team1,Win percent_team1,Pistol rounds_team1,Pistol rounds won_team1,Pistol round win percent_team1,CT round win percent_team1,T round win percent_team1,Times played_team2,Total rounds played_team2,Rounds won_team2,Win percent_team2,Pistol rounds_team2,Pistol rounds won_team2,Pistol round win percent_team2,CT round win percent_team2,T round win percent_team2
0,https://www.hltv.org/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7,7,16,2,2,-1,-1,14,2,4,967,968,40000,16,964,968,964,973,964,-1,1,-1,-1,1,976,967,965,949,970,1,-1,-1,-1,1,346,0.5429999999999999,353,0.98,74.2,5.0,19,522,0.66,0.15,0.68,0.09,0.11,1.05,0,0,0,0,1.01,409,0.293,309,1.32,79.8,3.8,19,522,0.78,0.11,0.59,0.08,0.08,1.22,0,0,0,0,1.16,341,0.622,348,0.98,75.2,4.7,19,522,0.65,0.13,0.67,0.08,0.10,1.03,0,0,0,0,1.00,350,0.537,355,0.99,72.4,4.0,19,522,0.67,0.11,0.68,0.10,0.08,1.01,0,0,0,0,1.01,290,0.462,345,0.84,68.3,6.5,19,522,0.56,0.15,0.66,0.11,0.09,0.94,0,0,0,0,0.91,743,0.514,854,0.87,62.7,6.2,52,1344,0.55,0.14,0.64,0.10,0.11,0.94,0,0,0.71,0.70,0.87,968,0.495,994,0.97,76.5,9.1,56,1464,0.66,0.17,0.68,0.13,0.10,1.06,0,0,0.81,0.87,0.99,999,0.252,845,1.18,75.8,4.0,52,1344,0.74,0.10,0.63,0.09,0.12,1.15,0,0,0.77,0.89,1.05,942,0.431,895,1.05,81.4,6.5,52,1344,0.70,0.18,0.67,0.11,0.11,1.12,0,0,0.84,0.95,1.06,916,0.43,879,1.04,74.0,3.0,52,1344,0.68,0.13,0.65,0.10,0.09,1.08,0,0,0.99,0.88,1.03,3.0,84.0,35.0,0.33299999999999996,6.0,2.0,0.33299999999999996,0.312,0.556,12.0,319.0,180.0,0.75,24.0,14.0,0.583,0.5,0.627
0,https://www.hltv.org/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7,11,16,2,2,1,1,14,2,4,967,968,40000,16,964,968,964,973,964,-1,1,-1,-1,1,976,967,965,949,970,1,-1,-1,-1,1,346,0.5429999999999999,353,0.98,74.2,5.0,19,522,0.66,0.15,0.68,0.09,0.11,1.05,0,0,0,0,1.01,409,0.293,309,1.32,79.8,3.8,19,522,0.78,0.11,0.59,0.08,0.08,1.22,0,0,0,0,1.16,341,0.622,348,0.98,75.2,4.7,19,522,0.65,0.13,0.67,0.08,0.10,1.03,0,0,0,0,1.00,350,0.537,355,0.99,72.4,4.0,19,522,0.67,0.11,0.68,0.10,0.08,1.01,0,0,0,0,1.01,290,0.462,345,0.84,68.3,6.5,19,522,0.56,0.15,0.66,0.11,0.09,0.94,0,0,0,0,0.91,743,0.514,854,0.87,62.7,6.2,52,1344,0.55,0.14,0.64,0.10,0.11,0.94,0,0,0.71,0.70,0.87,968,0.495,994,0.97,76.5,9.1,56,1464,0.66,0.17,0.68,0.13,0.10,1.06,0,0,0.81,0.87,0.99,999,0.252,845,1.18,75.8,4.0,52,1344,0.74,0.10,0.63,0.09,0.12,1.15,0,0,0.77,0.89,1.05,942,0.431,895,1.05,81.4,6.5,52,1344,0.70,0.18,0.67,0.11,0.11,1.12,0,0,0.84,0.95,1.06,916,0.43,879,1.04,74.0,3.0,52,1344,0.68,0.13,0.65,0.10,0.09,1.08,0,0,0.99,0.88,1.03,7.0,196.0,113.0,0.7140000000000001,14.0,8.0,0.5710000000000001,0.551,0.598,13.0,328.0,173.0,0.6920000000000001,26.0,12.0,0.462,0.41600000000000004,0.652
0,https://www.hltv.org/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7,7,16,2,2,-1,-1,14,2,4,967,968,40000,16,964,968,964,973,964,-1,1,-1,-1,1,976,967,965,949,970,1,-1,-1,-1,1,346,0.5429999999999999,353,0.98,74.2,5.0,19,522,0.66,0.15,0.68,0.09,0.11,1.05,0,0,0,0,1.01,409,0.293,309,1.32,79.8,3.8,19,522,0.78,0.11,0.59,0.08,0.08,1.22,0,0,0,0,1.16,341,0.622,348,0.98,75.2,4.7,19,522,0.65,0.13,0.67,0.08,0.10,1.03,0,0,0,0,1.00,350,0.537,355,0.99,72.4,4.0,19,522,0.67,0.11,0.68,0.10,0.08,1.01,0,0,0,0,1.01,290,0.462,345,0.84,68.3,6.5,19,522,0.56,0.15,0.66,0.11,0.09,0.94,0,0,0,0,0.91,743,0.514,854,0.87,62.7,6.2,52,1344,0.55,0.14,0.64,0.10,0.11,0.94,0,0,0.71,0.70,0.87,968,0.495,994,0.97,76.5,9.1,56,1464,0.66,0.17,0.68,0.13,0.10,1.06,0,0,0.81,0.87,0.99,999,0.252,845,1.18,75.8,4.0,52,1344,0.74,0.10,0.63,0.09,0.12,1.15,0,0,0.77,0.89,1.05,942,0.431,895,1.05,81.4,6.5,52,1344,0.70,0.18,0.67,0.11,0.11,1.12,0,0,0.84,0.95,1.06,916,0.43,879,1.04,74.0,3.0,52,1344,0.68,0.13,0.65,0.10,0.09,1.08,0,0,0.99,0.88,1.03,3.0,84.0,35.0,0.33299999999999996,6.0,2.0,0.33299999999999996,0.312,0.556,12.0,319.0,180.0,0.75,24.0,14.0,0.583,0.5,0.627
0,https://www.hltv.org/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7,11,16,2,2,1,1,14,2,4,967,968,40000,16,964,968,964,973,964,-1,1,-1,-1,1,976,967,965,949,970,1,-1,-1,-1,1,346,0.5429999999999999,353,0.98,74.2,5.0,19,522,0.66,0.15,0.68,0.09,0.11,1.05,0,0,0,0,1.01,409,0.293,309,1.32,79.8,3.8,19,522,0.78,0.11,0.59,0.08,0.08,1.22,0,0,0,0,1.16,341,0.622,348,0.98,75.2,4.7,19,522,0.65,0.13,0.67,0.08,0.10,1.03,0,0,0,0,1.00,350,0.537,355,0.99,72.4,4.0,19,522,0.67,0.11,0.68,0.10,0.08,1.01,0,0,0,0,1.01,290,0.462,345,0.84,68.3,6.5,19,522,0.56,0.15,0.66,0.11,0.09,0.94,0,0,0,0,0.91,743,0.514,854,0.87,62.7,6.2,52,1344,0.55,0.14,0.64,0.10,0.11,0.94,0,0,0.71,0.70,0.87,968,0.495,994,0.97,76.5,9.1,56,1464,0.66,0.17,0.68,0.13,0.10,1.06,0,0,0.81,0.87,0.99,999,0.252,845,1.18,75.8,4.0,52,1344,0.74,0.10,0.63,0.09,0.12,1.15,0,0,0.77,0.89,1.05,942,0.431,895,1.05,81.4,6.5,52,1344,0.70,0.18,0.67,0.11,0.11,1.12,0,0,0.84,0.95,1.06,916,0.43,879,1.04,74.0,3.0,52,1344,0.68,0.13,0.65,0.10,0.09,1.08,0,0,0.99,0.88,1.03,7.0,196.0,113.0,0.7140000000000001,14.0,8.0,0.5710000000000001,0.551,0.598,13.0,328.0,173.0,0.6920000000000001,26.0,12.0,0.462,0.41600000000000004,0.652
