,url,score1,score2,maps_total,maps_total,pistol_round_1,pistol_round_15,history_t1,history_draw,history_t2,team1_rank,team2_rank,prize_pool,teams_on_tour,opponent_rank_from_5_last_matches_0,opponent_rank_from_5_last_matches_1,opponent_rank_from_5_last_matches_2,opponent_rank_from_5_last_matches_3,opponent_rank_from_5_last_matches_4,win/loss_from_5_last_matches_0,win/loss_from_5_last_matches_1,win/loss_from_5_last_matches_2,win/loss_from_5_last_matches_3,win/loss_from_5_last_matches_4,opponent_rank_from_5_last_matches_0,opponent_rank_from_5_last_matches_1,opponent_rank_from_5_last_matches_2,opponent_rank_from_5_last_matches_3,opponent_rank_from_5_last_matches_4,win/loss_from_5_last_matches_0,win/loss_from_5_last_matches_1,win/loss_from_5_last_matches_2,win/loss_from_5_last_matches_3,win/loss_from_5_last_matches_4,Total kills_team0_pl0,Headshot %_team0_pl0,Total deaths_team0_pl0,K/D Ratio_team0_pl0,Damage / Round_team0_pl0,Grenade dmg / Round_team0_pl0,Maps played_team0_pl0,Rounds played_team0_pl0,Kills / round_team0_pl0,Assists / round_team0_pl0,Deaths / round_team0_pl0,Saved by teammate / round_team0_pl0,Saved teammates / round_team0_pl0,Rating 2.0_team0_pl0,vs top 5 opponents_team0_pl0,vs top 10 opponents_team0_pl0,vs top 20 opponents_team0_pl0,vs top 30 opponents_team0_pl0,vs top 50 opponents_team0_pl0,Total kills_team0_pl1,Headshot %_team0_pl1,Total deaths_team0_pl1,K/D Ratio_team0_pl1,Damage / Round_team0_pl1,Grenade dmg / Round_team0_pl1,Maps played_team0_pl1,Rounds played_team0_pl1,Kills / round_team0_pl1,Assists / round_team0_pl1,Deaths / round_team0_pl1,Saved by teammate / round_team0_pl1,Saved teammates / round_team0_pl1,Rating 2.0_team0_pl1,vs top 5 opponents_team0_pl1,vs top 10 opponents_team0_pl1,vs top 20 opponents_team0_pl1,vs top 30 opponents_team0_pl1,vs top 50 opponents_team0_pl1,Total kills_team0_pl2,Headshot %_team0_pl2,Total deaths_team0_pl2,K/D Ratio_team0_pl2,Damage / Round_team0_pl2,Grenade dmg / Round_team0_pl2,Maps played_team0_pl2,Rounds played_team0_pl2,Kills / round_team0_pl2,Assists / round_team0_pl2,Deaths / round_team0_pl2,Saved by teammate / round_team0_pl2,Saved teammates / round_team0_pl2,Rating 2.0_team0_pl2,vs top 5 opponents_team0_pl2,vs top 10 opponents_team0_pl2,vs top 20 opponents_team0_pl2,vs top 30 opponents_team0_pl2,vs top 50 opponents_team0_pl2,Total kills_team0_pl3,Headshot %_team0_pl3,Total deaths_team0_pl3,K/D Ratio_team0_pl3,Damage / Round_team0_pl3,Grenade dmg / Round_team0_pl3,Maps played_team0_pl3,Rounds played_team0_pl3,Kills / round_team0_pl3,Assists / round_team0_pl3,Deaths / round_team0_pl3,Saved by teammate / round_team0_pl3,Saved teammates / round_team0_pl3,Rating 2.0_team0_pl3,vs top 5 opponents_team0_pl3,vs top 10 opponents_team0_pl3,vs top 20 opponents_team0_pl3,vs top 30 opponents_team0_pl3,vs top 50 opponents_team0_pl3,Total kills_team0_pl4,Headshot %_team0_pl4,Total deaths_team0_pl4,K/D Ratio_team0_pl4,Damage / Round_team0_pl4,Grenade dmg / Round_team0_pl4,Maps played_team0_pl4,Rounds played_team0_pl4,Kills / round_team0_pl4,Assists / round_team0_pl4,Deaths / round_team0_pl4,Saved by teammate / round_team0_pl4,Saved teammates / round_team0_pl4,Rating 2.0_team0_pl4,vs top 5 opponents_team0_pl4,vs top 10 opponents_team0_pl4,vs top 20 opponents_team0_pl4,vs top 30 opponents_team0_pl4,vs top 50 opponents_team0_pl4,Total kills_team1_pl0,Headshot %_team1_pl0,Total deaths_team1_pl0,K/D Ratio_team1_pl0,Damage / Round_team1_pl0,Grenade dmg / Round_team1_pl0,Maps played_team1_pl0,Rounds played_team1_pl0,Kills / round_team1_pl0,Assists / round_team1_pl0,Deaths / round_team1_pl0,Saved by teammate / round_team1_pl0,Saved teammates / round_team1_pl0,Rating 2.0_team1_pl0,vs top 5 opponents_team1_pl0,vs top 10 opponents_team1_pl0,vs top 20 opponents_team1_pl0,vs top 30 opponents_team1_pl0,vs top 50 opponents_team1_pl0,Total kills_team1_pl1,Headshot %_team1_pl1,Total deaths_team1_pl1,K/D Ratio_team1_pl1,Damage / Round_team1_pl1,Grenade dmg / Round_team1_pl1,Maps played_team1_pl1,Rounds played_team1_pl1,Kills / round_team1_pl1,Assists / round_team1_pl1,Deaths / round_team1_pl1,Saved by teammate / round_team1_pl1,Saved teammates / round_team1_pl1,Rating 2.0_team1_pl1,vs top 5 opponents_team1_pl1,vs top 10 opponents_team1_pl1,vs top 20 opponents_team1_pl1,vs top 30 opponents_team1_pl1,vs top 50 opponents_team1_pl1,Total kills_team1_pl2,Headshot %_team1_pl2,Total deaths_team1_pl2,K/D Ratio_team1_pl2,Damage / Round_team1_pl2,Grenade dmg / Round_team1_pl2,Maps played_team1_pl2,Rounds played_team1_pl2,Kills / round_team1_pl2,Assists / round_team1_pl2,Deaths / round_team1_pl2,Saved by teammate / round_team1_pl2,Saved teammates / round_team1_pl2,Rating 2.0_team1_pl2,vs top 5 opponents_team1_pl2,vs top 10 opponents_team1_pl2,vs top 20 opponents_team1_pl2,vs top 30 opponents_team1_pl2,vs top 50 opponents_team1_pl2,Total kills_team1_pl3,Headshot %_team1_pl3,Total deaths_team1_pl3,K/D Ratio_team1_pl3,Damage / Round_team1_pl3,Grenade dmg / Round_team1_pl3,Maps played_team1_pl3,Rounds played_team1_pl3,Kills / round_team1_pl3,Assists / round_team1_pl3,Deaths / round_team1_pl3,Saved by teammate / round_team1_pl3,Saved teammates / round_team1_pl3,Rating 2.0_team1_pl3,vs top 5 opponents_team1_pl3,vs top 10 opponents_team1_pl3,vs top 20 opponents_team1_pl3,vs top 30 opponents_team1_pl3,vs top 50 opponents_team1_pl3,Total kills_team1_pl4,Headshot %_team1_pl4,Total deaths_team1_pl4,K/D Ratio_team1_pl4,Damage / Round_team1_pl4,Grenade dmg / Round_team1_pl4,Maps played_team1_pl4,Rounds played_team1_pl4,Kills / round_team1_pl4,Assists / round_team1_pl4,Deaths / round_team1_pl4,Saved by teammate / round_team1_pl4,Saved teammates / round_team1_pl4,Rating 2.0_team1_pl4,vs top 5 opponents_team1_pl4,vs top 10 opponents_team1_pl4,vs top 20 opponents_team1_pl4,vs top 30 opponents_team1_pl4,vs top 50 opponents_team1_pl4,Times played_team1,Total rounds played_team1,Rounds won_team1,Win percent_team1,Pistol rounds_team1,Pistol rounds won_team1,Pistol round win percent_team1,CT round win percent_team1,T round win percent_team1,Times played_team2,Total rounds played_team2,Rounds won_team2,Win percent_team2,Pistol rounds_team2,Pistol rounds won_team2,Pistol round win percent_team2,CT round win percent_team2,T round win percent_team2
0,https://www.hltv.org/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7,7,16,2,2,-1,-1,14,2,4,967,968,40000,16,964,968,964,973,964,-1,1,-1,-1,1,976,967,965,949,970,1,-1,-1,-1,1,951,0.532,838,1.13,80.8,5.3,47,1268,0.75,0.14,0.66,0.09,0.10,1.16,0,0,1.18,1.23,1.16,943,0.29100000000000004,753,1.25,74.4,3.2,47,1268,0.74,0.10,0.59,0.09,0.08,1.17,0,0,1.05,1.07,1.12,842,0.605,848,0.99,76.5,4.9,47,1268,0.66,0.14,0.67,0.08,0.09,1.04,0,0,1.02,1.01,1.02,852,0.511,837,1.02,73.7,4.0,47,1268,0.67,0.12,0.66,0.09,0.08,1.05,0,0,1.00,1.02,1.05,717,0.501,832,0.86,67.8,6.2,47,1268,0.57,0.16,0.66,0.10,0.09,0.95,0,0,0.91,0.94,0.94,1730,0.48700000000000004,1927,0.90,63.6,5.8,114,3054,0.57,0.13,0.63,0.10,0.11,0.95,0,0,0.71,0.73,0.86,2159,0.501,2100,1.03,77.7,8.8,118,3174,0.68,0.17,0.66,0.11,0.10,1.08,0,0,0.81,0.91,1.01,2273,0.26899999999999996,1920,1.18,75.8,3.7,114,3054,0.74,0.11,0.63,0.09,0.11,1.17,0,0,0.77,0.91,1.06,2157,0.41200000000000003,1990,1.08,80.1,6.3,114,3054,0.71,0.16,0.65,0.11,0.11,1.12,0,0,0.84,0.98,1.07,2084,0.445,1925,1.08,76.3,3.4,111,2973,0.70,0.14,0.65,0.10,0.09,1.12,0,0,0.99,0.89,1.02,6.0,166.0,86.0,0.667,12.0,5.0,0.41700000000000004,0.436,0.625,21.0,563.0,320.0,0.762,42.0,22.0,0.524,0.507,0.629
0,https://www.hltv.org/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7,11,16,2,2,1,1,14,2,4,967,968,40000,16,964,968,964,973,964,-1,1,-1,-1,1,976,967,965,949,970,1,-1,-1,-1,1,951,0.532,838,1.13,80.8,5.3,47,1268,0.75,0.14,0.66,0.09,0.10,1.16,0,0,1.18,1.23,1.16,943,0.29100000000000004,753,1.25,74.4,3.2,47,1268,0.74,0.10,0.59,0.09,0.08,1.17,0,0,1.05,1.07,1.12,842,0.605,848,0.99,76.5,4.9,47,1268,0.66,0.14,0.67,0.08,0.09,1.04,0,0,1.02,1.01,1.02,852,0.511,837,1.02,73.7,4.0,47,1268,0.67,0.12,0.66,0.09,0.08,1.05,0,0,1.00,1.02,1.05,717,0.501,832,0.86,67.8,6.2,47,1268,0.57,0.16,0.66,0.10,0.09,0.95,0,0,0.91,0.94,0.94,1730,0.48700000000000004,1927,0.90,63.6,5.8,114,3054,0.57,0.13,0.63,0.10,0.11,0.95,0,0,0.71,0.73,0.86,2159,0.501,2100,1.03,77.7,8.8,118,3174,0.68,0.17,0.66,0.11,0.10,1.08,0,0,0.81,0.91,1.01,2273,0.26899999999999996,1920,1.18,75.8,3.7,114,3054,0.74,0.11,0.63,0.09,0.11,1.17,0,0,0.77,0.91,1.06,2157,0.41200000000000003,1990,1.08,80.1,6.3,114,3054,0.71,0.16,0.65,0.11,0.11,1.12,0,0,0.84,0.98,1.07,2084,0.445,1925,1.08,76.3,3.4,111,2973,0.70,0.14,0.65,0.10,0.09,1.12,0,0,0.99,0.89,1.02,13.0,364.0,205.0,0.615,26.0,15.0,0.5770000000000001,0.527,0.593,30.0,764.0,424.0,0.667,60.0,32.0,0.5329999999999999,0.545,0.565
0,https://www.hltv.org/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7,7,16,2,2,-1,-1,14,2,4,967,968,40000,16,964,968,964,973,964,-1,1,-1,-1,1,976,967,965,949,970,1,-1,-1,-1,1,951,0.532,838,1.13,80.8,5.3,47,1268,0.75,0.14,0.66,0.09,0.10,1.16,0,0,1.18,1.23,1.16,943,0.29100000000000004,753,1.25,74.4,3.2,47,1268,0.74,0.10,0.59,0.09,0.08,1.17,0,0,1.05,1.07,1.12,842,0.605,848,0.99,76.5,4.9,47,1268,0.66,0.14,0.67,0.08,0.09,1.04,0,0,1.02,1.01,1.02,852,0.511,837,1.02,73.7,4.0,47,1268,0.67,0.12,0.66,0.09,0.08,1.05,0,0,1.00,1.02,1.05,717,0.501,832,0.86,67.8,6.2,47,1268,0.57,0.16,0.66,0.10,0.09,0.95,0,0,0.91,0.94,0.94,1730,0.48700000000000004,1927,0.90,63.6,5.8,114,3054,0.57,0.13,0.63,0.10,0.11,0.95,0,0,0.71,0.73,0.86,2159,0.501,2100,1.03,77.7,8.8,118,3174,0.68,0.17,0.66,0.11,0.10,1.08,0,0,0.81,0.91,1.01,2273,0.26899999999999996,1920,1.18,75.8,3.7,114,3054,0.74,0.11,0.63,0.09,0.11,1.17,0,0,0.77,0.91,1.06,2157,0.41200000000000003,1990,1.08,80.1,6.3,114,3054,0.71,0.16,0.65,0.11,0.11,1.12,0,0,0.84,0.98,1.07,2084,0.445,1925,1.08,76.3,3.4,111,2973,0.70,0.14,0.65,0.10,0.09,1.12,0,0,0.99,0.89,1.02,6.0,166.0,86.0,0.667,12.0,5.0,0.41700000000000004,0.436,0.625,21.0,563.0,320.0,0.762,42.0,22.0,0.524,0.507,0.629
0,https://www.hltv.org/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7,11,16,2,2,1,1,14,2,4,967,968,40000,16,964,968,964,973,964,-1,1,-1,-1,1,976,967,965,949,970,1,-1,-1,-1,1,951,0.532,838,1.13,80.8,5.3,47,1268,0.75,0.14,0.66,0.09,0.10,1.16,0,0,1.18,1.23,1.16,943,0.29100000000000004,753,1.25,74.4,3.2,47,1268,0.74,0.10,0.59,0.09,0.08,1.17,0,0,1.05,1.07,1.12,842,0.605,848,0.99,76.5,4.9,47,1268,0.66,0.14,0.67,0.08,0.09,1.04,0,0,1.02,1.01,1.02,852,0.511,837,1.02,73.7,4.0,47,1268,0.67,0.12,0.66,0.09,0.08,1.05,0,0,1.00,1.02,1.05,717,0.501,832,0.86,67.8,6.2,47,1268,0.57,0.16,0.66,0.10,0.09,0.95,0,0,0.91,0.94,0.94,1730,0.48700000000000004,1927,0.90,63.6,5.8,114,3054,0.57,0.13,0.63,0.10,0.11,0.95,0,0,0.71,0.73,0.86,2159,0.501,2100,1.03,77.7,8.8,118,3174,0.68,0.17,0.66,0.11,0.10,1.08,0,0,0.81,0.91,1.01,2273,0.26899999999999996,1920,1.18,75.8,3.7,114,3054,0.74,0.11,0.63,0.09,0.11,1.17,0,0,0.77,0.91,1.06,2157,0.41200000000000003,1990,1.08,80.1,6.3,114,3054,0.71,0.16,0.65,0.11,0.11,1.12,0,0,0.84,0.98,1.07,2084,0.445,1925,1.08,76.3,3.4,111,2973,0.70,0.14,0.65,0.10,0.09,1.12,0,0,0.99,0.89,1.02,13.0,364.0,205.0,0.615,26.0,15.0,0.5770000000000001,0.527,0.593,30.0,764.0,424.0,0.667,60.0,32.0,0.5329999999999999,0.545,0.565
