Unnamed: 0,match_url,url_team1,url_team2,event_url,players_url_1,players_url_2,maps_url,date,total_maps,maps_played,score1,score2,h2h_wins1,h2h_wins2,rank1,rank2,10last_maps1_score_team1,10last_maps1_opponent_score_team1,10last_maps2_score_team1,10last_maps2_opponent_score_team1,10last_maps3_score_team1,10last_maps3_opponent_score_team1,10last_maps4_score_team1,10last_maps4_opponent_score_team1,10last_maps5_score_team1,10last_maps5_opponent_score_team1,10last_maps6_score_team1,10last_maps6_opponent_score_team1,10last_maps7_score_team1,10last_maps7_opponent_score_team1,10last_maps8_score_team1,10last_maps8_opponent_score_team1,10last_maps9_score_team1,10last_maps9_opponent_score_team1,10last_maps10_score_team1,10last_maps10_opponent_score_team1,10last_maps11_score_team1,10last_maps11_opponent_score_team1,10last_maps12_score_team1,10last_maps12_opponent_score_team1,10last_maps13_score_team1,10last_maps13_opponent_score_team1,10last_maps14_score_team1,10last_maps14_opponent_score_team1,10last_maps15_score_team1,10last_maps15_opponent_score_team1,10last_maps1_score_team2,10last_maps1_opponent_score_team2,10last_maps2_score_team2,10last_maps2_opponent_score_team2,10last_maps3_score_team2,10last_maps3_opponent_score_team2,10last_maps4_score_team2,10last_maps4_opponent_score_team2,10last_maps5_score_team2,10last_maps5_opponent_score_team2,10last_maps6_score_team2,10last_maps6_opponent_score_team2,10last_maps7_score_team2,10last_maps7_opponent_score_team2,10last_maps8_score_team2,10last_maps8_opponent_score_team2,10last_maps9_score_team2,10last_maps9_opponent_score_team2,10last_maps10_score_team2,10last_maps10_opponent_score_team2,10last_maps11_score_team2,10last_maps11_opponent_score_team2,10last_maps12_score_team2,10last_maps12_opponent_score_team2,10last_maps13_score_team2,10last_maps13_opponent_score_team2,10last_maps14_score_team2,10last_maps14_opponent_score_team2,10last_maps15_score_team2,10last_maps15_opponent_score_team2
1174,/matches/2340663/gambit-youngsters-vs-heretics-lootbet-season-6,/team/9976/gambit-youngsters,/team/8346/heretics,/events/5269/lootbet-season-6,"['/player/15071/interz', '/player/16415/supra', '/player/16920/sh1ro', '/player/16921/nafany', '/player/16555/Ax1Le']","['/player/13138/Maka', '/player/4959/kioShiMa', '/player/13497/Lucky', '/player/9545/xms', '/player/19512/Nivera']","['/stats/matches/mapstatsid/101205/gambit-youngsters-vs-heretics', '/stats/matches/mapstatsid/101209/heretics-vs-gambit-youngsters']",2020-04-09,3,2,0,2,4,2,World rank: #38,World rank: #43,16,9,16,12,14,16,16,9,16,6,19,16,16,7,17,19,16,13,12,16,16,10,16,12,16,8,13,16,16,6,16,13,16,4,16,6,16,12,10,16,16,13,16,13,16,9,16,9,12,16,13,16,9,16,19,17,10,16,16,10
1175,/matches/2340624/north-vs-sprout-home-sweet-home-cup,/team/7533/north,/team/8637/sprout,/events/5268/home-sweet-home-cup,"['/player/8095/aizy', '/player/8394/Kjaerbye', '/player/8875/gade', '/player/7156/MSL', '/player/2469/cajunb']","['/player/7499/Spiidi', '/player/14932/faveN', '/player/7511/denis', '/player/798/oskar', '/player/16080/dycha']",['/stats/matches/mapstatsid/101208/north-vs-sprout'],2020-04-09,1,1,16,6,3,2,World rank: #23,World rank: #36,8,16,10,16,22,20,16,11,8,16,16,9,12,16,12,16,10,16,16,10,16,10,14,16,13,16,19,17,16,7,16,5,16,11,16,13,19,16,16,10,16,7,12,16,14,16,16,12,16,11,16,14,11,16,12,16,16,4,6,16
1176,/matches/2340696/vertex-vs-i-sleep-lpl-pro-league-season-4,/team/10672/vertex,/team/10664/i-sleep,/events/5228/lpl-pro-league-season-4,"['/player/17384/Vexite', '/player/16531/tensai', '/player/16228/toM', '/player/12590/soju_j', '/player/11800/willyKS']","['/player/11492/Noisia', '/player/8770/MoeycQ', '/player/17394/tot', '/player/625/ferg', '/player/16034/Dirty']","['/stats/matches/mapstatsid/101201/vertex-vs-i-sleep', '/stats/matches/mapstatsid/101206/i-sleep-vs-vertex', '/stats/matches/mapstatsid/101207/vertex-vs-i-sleep']",2020-04-09,3,3,2,1,2,0,World rank: #166,World rank: #151,13,16,12,16,16,14,16,2,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,16,8,19,15,16,10,12,16,20,22,16,12,20,22,5,16,16,11,16,13,16,8,16,6,10,16,9,16
1177,/matches/2340623/movistar-riders-vs-japaleno-home-sweet-home-cup,/team/7718/movistar-riders,/team/7144/japaleno,/events/5268/home-sweet-home-cup,"['/player/9254/mopoz', '/player/8371/alex', '/player/4373/EasTor', '/player/3997/loWel', '/player/7382/steel']","['/player/9277/FREDDyFROG', '/player/9279/Relaxa', '/player/12572/djL', '/player/9811/PlesseN', '/player/15639/dezon']",['/stats/matches/mapstatsid/101204/movistar-riders-vs-japaleno'],2020-04-09,1,1,4,16,3,1,World rank: #35,World rank: #46,16,10,7,16,16,9,16,6,16,6,12,16,12,16,16,14,16,14,10,16,7,16,12,16,13,16,16,4,11,16,16,14,16,13,16,10,7,16,16,7,19,16,16,13,10,16,13,16,16,19,16,14,16,8,11,16,16,6,19,17
1178,/matches/2340715/trivium-vs-serac-esea-mdl-season-33-north-america-relegation,/team/10686/trivium,/team/10682/serac,/events/5260/esea-mdl-season-33-north-america-relegation,"['/player/18709/Hendy', '/player/17623/Top%5E', '/player/16589/bokumbop', '/player/19174/walker', '/player/14799/hyper-']","['/player/17627/Laxufy', '/player/15139/stealthy', '/player/17626/nyuu', '/player/16682/Rebo', '/player/20035/Cam%5E']","['/stats/matches/mapstatsid/101196/trivium-vs-serac', '/stats/matches/mapstatsid/101199/serac-vs-trivium', '/stats/matches/mapstatsid/101200/trivium-vs-serac']",2020-04-09,3,3,2,1,2,1,"
Unranked
",World rank: #182,14,16,10,16,6,16,16,11,13,16,16,11,16,14,14,16,16,1,16,9,0,0,0,0,0,0,0,0,0,0,12,16,6,16,16,11,16,13,13,16,16,12,16,7,11,16,16,11,11,16,14,16,16,14,16,11,16,5,23,25
1179,/matches/2340712/faint-vs-blood-sweat-and-tears-esea-mdl-season-33-north-america-relegation,/team/10391/faint,/team/10692/blood-sweat-and-tears,/events/5260/esea-mdl-season-33-north-america-relegation,"['/player/16902/KmZ', '/player/15523/vek', '/player/17097/Powerzz', '/player/19832/Brian2K', '/player/19009/Aaron']","['/player/16597/4pack', '/player/19965/v1king', '/player/14131/retchy', '/player/9572/Marved', '/player/16649/shanks']","['/stats/matches/mapstatsid/101193/faint-vs-blood-sweat-and-tears', '/stats/matches/mapstatsid/101198/blood-sweat-and-tears-vs-faint']",2020-04-09,3,2,0,2,0,2,World rank: #141,World rank: #128,18,22,12,16,13,16,7,16,9,16,8,16,16,5,16,4,10,16,16,14,14,16,16,14,5,16,16,7,14,16,8,16,13,16,16,7,16,11,17,19,8,16,14,16,16,8,16,13,16,13,16,7,16,12,16,11,13,16,16,12
1180,/matches/2340714/thunder-logic-vs-in-the-lab-esea-mdl-season-33-north-america-relegation,/team/9615/thunder-logic,/team/10662/in-the-lab,/events/5260/esea-mdl-season-33-north-america-relegation,"['/player/10622/PureR', '/player/14038/Andersin', '/player/18623/Inseaniac', '/player/19476/Sharkie', '/player/19160/rabbit']","['/player/16658/Kanpeki', '/player/13254/TenZ', '/player/19712/castro', '/player/15229/nero', '/player/14495/droid']","['/stats/matches/mapstatsid/101194/thunder-logic-vs-in-the-lab', '/stats/matches/mapstatsid/101197/in-the-lab-vs-thunder-logic']",2020-04-09,3,2,2,0,1,0,World rank: #129,"
Unranked
",13,16,16,13,12,16,10,16,10,16,16,9,6,16,9,16,16,9,16,5,11,16,16,13,14,16,5,16,16,14,6,16,9,16,16,9,16,14,16,10,1,16,14,16,5,16,7,16,16,10,13,16,3,16,16,7,12,16,11,16
1181,/matches/2340713/aa-vs-rebel-esea-mdl-season-33-north-america-relegation,/team/10676/aa,/team/10698/rebel,/events/5260/esea-mdl-season-33-north-america-relegation,"['/player/13177/stellar', '/player/14933/robby', '/player/13473/Fiziq', '/player/13576/thief', '/player/14827/riku']","['/player/19709/shane', '/player/19710/dare', '/player/19711/snav', '/player/19902/eptima', '/player/20036/KEL']","['/stats/matches/mapstatsid/101192/aa-vs-rebel', '/stats/matches/mapstatsid/101195/aa-vs-rebel']",2020-04-09,3,2,2,0,0,0,World rank: #105,World rank: #149,13,16,12,16,8,16,16,4,19,15,8,16,16,2,12,16,16,11,10,16,7,16,16,12,16,6,16,9,9,16,7,16,11,16,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,/matches/2340702/infinity-vs-serac-esea-mdl-season-33-north-america-relegation,/team/9963/infinity,/team/10682/serac,/events/5260/esea-mdl-season-33-north-america-relegation,"['/player/9214/spamzzy1', '/player/11524/sam_A', '/player/10347/Daveys', '/player/11617/malbsMd', '/player/7862/k1Nky']","['/player/17627/Laxufy', '/player/15139/stealthy', '/player/17626/nyuu', '/player/16682/Rebo', '/player/20035/Cam%5E']","['/stats/matches/mapstatsid/101184/infinity-vs-serac', '/stats/matches/mapstatsid/101189/infinity-vs-serac', '/stats/matches/mapstatsid/101191/infinity-vs-serac']",2020-04-08,3,3,2,1,1,0,World rank: #131,World rank: #182,16,14,16,13,8,16,7,16,14,16,14,16,13,16,16,7,10,16,16,7,4,16,7,16,12,16,12,16,5,16,16,13,13,16,16,12,16,7,11,16,16,11,11,16,14,16,16,14,16,11,16,5,23,25,9,16,10,16,0,0
1183,/matches/2340703/oceanus-vs-in-the-lab-esea-mdl-season-33-north-america-relegation,/team/10282/oceanus,/team/10662/in-the-lab,/events/5260/esea-mdl-season-33-north-america-relegation,"['/player/17511/KOLER', '/player/17510/J0LZ', '/player/17470/Melio', '/player/17658/tENSKI', '/player/12937/WolfY']","['/player/16658/Kanpeki', '/player/19713/contii', '/player/19712/castro', '/player/15229/nero', '/player/14495/droid']","['/stats/matches/mapstatsid/101182/oceanus-vs-in-the-lab', '/stats/matches/mapstatsid/101186/in-the-lab-vs-oceanus', '/stats/matches/mapstatsid/101190/in-the-lab-vs-oceanus']",2020-04-08,3,3,2,1,1,0,World rank: #110,World rank: #116,5,16,8,16,10,16,4,16,9,16,4,16,2,16,16,13,11,16,19,17,8,16,6,16,16,13,16,9,11,16,1,16,14,16,5,16,7,16,16,10,13,16,3,16,16,7,12,16,11,16,7,16,5,16,9,16,16,13,19,16
